player,num_games,download_link
Nodirbek Abdusattorov,2554,https://www.pgnmentor.com/players/Abdusattorov.zip
Michael Adams,3558,https://www.pgnmentor.com/players/Adams.zip
Varuzhan Akobian,1755,https://www.pgnmentor.com/players/Akobian.zip
Vladimir Akopian,1987,https://www.pgnmentor.com/players/Akopian.zip
Lev Alburt,776,https://www.pgnmentor.com/players/Alburt.zip
Alexander Alekhine,1661,https://www.pgnmentor.com/players/Alekhine.zip
Evgeny Alekseev,2890,https://www.pgnmentor.com/players/Alekseev.zip
Zoltan Almasi,2041,https://www.pgnmentor.com/players/Almasi.zip
Viswanathan Anand,4162,https://www.pgnmentor.com/players/Anand.zip
Adolf Anderssen,681,https://www.pgnmentor.com/players/Anderssen.zip
Ulf Andersson,2736,https://www.pgnmentor.com/players/Andersson.zip
Dmitry Andreikin,5794,https://www.pgnmentor.com/players/Andreikin.zip
Levon Aronian,4888,https://www.pgnmentor.com/players/Aronian.zip
Maurice Ashley,414,https://www.pgnmentor.com/players/Ashley.zip
Yuri Averbakh,885,https://www.pgnmentor.com/players/Averbakh.zip
Zurab Azmaiparashvili,1324,https://www.pgnmentor.com/players/Azmaiparashvili.zip
Etienne Bacrot,4529,https://www.pgnmentor.com/players/Bacrot.zip
Evgeny Bareev,2012,https://www.pgnmentor.com/players/Bareev.zip
Julio Becerra Rivero,1194,https://www.pgnmentor.com/players/BecerraRivero.zip
Alexander Beliavsky,3300,https://www.pgnmentor.com/players/Beliavsky.zip
Joel Benjamin,1784,https://www.pgnmentor.com/players/Benjamin.zip
Pal Benko,1376,https://www.pgnmentor.com/players/Benko.zip
Hans Berliner,64,https://www.pgnmentor.com/players/Berliner.zip
Ossip Bernstein,261,https://www.pgnmentor.com/players/Bernstein.zip
Henry Bird,353,https://www.pgnmentor.com/players/Bird.zip
Arthur Bisguier,1186,https://www.pgnmentor.com/players/Bisguier.zip
Joseph Blackburne,738,https://www.pgnmentor.com/players/Blackburne.zip
Pavel Blatny,1918,https://www.pgnmentor.com/players/Blatny.zip
Efim Bogoljubow,973,https://www.pgnmentor.com/players/Bogoljubow.zip
Isaac Boleslavsky,651,https://www.pgnmentor.com/players/Boleslavsky.zip
Viktor Bologan,3222,https://www.pgnmentor.com/players/Bologan.zip
Mikhail Botvinnik,891,https://www.pgnmentor.com/players/Botvinnik.zip
Gyula Breyer,176,https://www.pgnmentor.com/players/Breyer.zip
David Bronstein,1930,https://www.pgnmentor.com/players/Bronstein.zip
Walter Browne,1621,https://www.pgnmentor.com/players/Browne.zip
